sample,age_group,pr_ward_to_discharge,pr_ward_to_ICU,pr_ICU_to_discharge,pr_ICU_to_postICU,pr_postICU_to_death,scale_ward_to_discharge,scale_ward_to_ICU,scale_ward_to_death,scale_ICU_to_discharge,scale_ICU_to_death,scale_ICU_to_postICU,scale_postICU_to_discharge,scale_postICU_to_death,shape_ward_to_discharge,shape_ward_to_ICU,shape_ward_to_death,shape_ICU_to_discharge,shape_ICU_to_death,shape_ICU_to_postICU,shape_postICU_to_discharge,shape_postICU_to_death
1,0-9,0.9538468533414173,0.03268327895662452,0.22350437310544946,0.648569193142606,0.023735813264893768,2.3128019806992626,1.6773645229936047,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.9151844586257303,0.524716406826369,0.5967849331643912,1.0972531005117163,0.8822858790519215,1.1683969515664687,1.2889757693885375,2.1612250829728756
1,10-19,0.9538468533414173,0.03268327895662452,0.22350437310544946,0.648569193142606,0.023735813264893768,2.3128019806992626,1.6773645229936047,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.9151844586257303,0.524716406826369,0.5967849331643912,1.0972531005117163,0.8822858790519215,1.1683969515664687,1.2889757693885375,2.1612250829728756
1,20-29,0.9538468533414173,0.03268327895662452,0.22350437310544946,0.648569193142606,0.023735813264893768,2.3128019806992626,1.6773645229936047,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.9151844586257303,0.524716406826369,0.5967849331643912,1.0972531005117163,0.8822858790519215,1.1683969515664687,1.2889757693885375,2.1612250829728756
1,30-39,0.9538468533414173,0.03268327895662452,0.22350437310544946,0.648569193142606,0.023735813264893768,2.3128019806992626,1.6773645229936047,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.9151844586257303,0.524716406826369,0.5967849331643912,1.0972531005117163,0.8822858790519215,1.1683969515664687,1.2889757693885375,2.1612250829728756
1,40-49,0.8975257290628543,0.07680797598799528,0.22350437310544946,0.648569193142606,0.023735813264893768,4.975247489984121,2.0374011244584547,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.7341039101071072,0.5254383898886817,0.5967849331643912,1.0972531005117163,0.8822858790519215,1.1683969515664687,1.7770995374562506,2.1612250829728756
1,50-59,0.8975257290628543,0.07680797598799528,0.22350437310544946,0.648569193142606,0.023735813264893768,4.975247489984121,2.0374011244584547,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.7341039101071072,0.5254383898886817,0.5967849331643912,1.0972531005117163,0.8822858790519215,1.1683969515664687,1.7770995374562506,2.1612250829728756
1,60-69,0.8975257290628543,0.07680797598799528,0.22350437310544946,0.648569193142606,0.023735813264893768,4.975247489984121,2.0374011244584547,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.7341039101071072,0.5254383898886817,0.5967849331643912,1.0972531005117163,0.8822858790519215,1.1683969515664687,1.7770995374562506,2.1612250829728756
1,70-79,0.8391899161476494,0.07736958995169207,0.13080617670832767,0.7562133077397631,0.023735813264893768,7.3334747614079,4.635023077308289,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.9827909937518481,0.44591591536046526,0.5967849331643912,2.089411438648563,0.4632817438308223,1.1501030839223987,2.080122260531758,2.1612250829728756
1,80+,0.8391899161476494,0.07736958995169207,0.13080617670832767,0.7562133077397631,0.023735813264893768,7.3334747614079,4.635023077308289,88.90138946233432,3.5789116487617005,28.379886270738858,3.9673070941159185,3.6698074946630945,1.7813644021081945,0.9827909937518481,0.44591591536046526,0.5967849331643912,2.089411438648563,0.4632817438308223,1.1501030839223987,2.080122260531758,2.1612250829728756
2,0-9,0.9580082183609844,0.028238775317081688,0.2581723489790409,0.6406122026074216,0.023735813264893768,2.2534218506891293,0.9568172447827649,82.00424002776948,2.6308002010454703,16.497967868836433,2.860161488245162,3.7855018525498374,2.629015599339827,0.9393421055792488,0.527555709071882,0.6442245674336012,1.3668012071928468,0.8163901699667647,1.5897903446550186,1.4734306227659748,1.6745682664907358
2,10-19,0.9580082183609844,0.028238775317081688,0.2581723489790409,0.6406122026074216,0.023735813264893768,2.2534218506891293,0.9568172447827649,82.00424002776948,2.6308002010454703,16.497967868836433,2.860161488245162,3.7855018525498374,2.629015599339827,0.9393421055792488,0.527555709071882,0.6442245674336012,1.3668012071928468,0.8163901699667647,1.5897903446550186,1.4734306227659748,1.6745682664907358
2,20-29,0.9580082183609844,0.028238775317081688,0.2581723489790409,0.6406122026074216,0.023735813264893768,2.2534218506891293,0.9568172447827649,82.00424002776948,2.6308002010454703,16.497967868836433,2.860161488245162,3.7855018525498374,2.629015599339827,0.9393421055792488,0.527555709071882,0.6442245674336012,1.3668012071928468,0.8163901699667647,1.5897903446550186,1.4734306227659748,1.6745682664907358
2,30-39,0.9580082183609844,0.028238775317081688,0.2581723489790409,0.6406122026074216,0.023735813264893768,2.2534218506891293,0.9568172447827649,82.00424002776948,2.6308002010454703,16.497967868836433,2.860161488245162,3.7855018525498374,2.629015599339827,0.9393421055792488,0.527555709071882,0.6442245674336012,1.3668012071928468,0.8163901699667647,1.5897903446550186,1.4734306227659748,1.6745682664907358
