age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,148,260,-1,-1,0,-1
2,1,2,149,257,-1,-1,0,-1
2,1,2,40,305,-1,-1,0,-1
2,1,2,162,247,-1,-1,0,-1
2,1,2,46,256,-1,-1,0,-1
2,1,2,181,318,-1,-1,0,-1
2,1,2,104,318,-1,-1,0,-1
2,1,2,176,297,-1,-1,0,-1
2,1,2,61,303,-1,-1,0,-1
2,1,2,123,329,-1,-1,0,-1
2,1,2,150,236,-1,-1,0,-1
2,1,2,113,343,-1,-1,0,-1
2,1,2,85,355,-1,-1,0,-1
2,1,2,145,252,-1,-1,0,-1
2,1,2,49,354,-1,-1,0,-1
2,1,2,133,232,-1,-1,0,-1
2,1,2,57,326,-1,-1,0,-1
2,1,2,81,288,-1,-1,0,-1
2,1,2,65,259,-1,-1,0,-1
2,1,2,112,296,-1,-1,0,-1
2,1,2,110,304,-1,-1,0,-1
2,1,2,122,218,-1,-1,0,-1
2,1,2,89,355,-1,-1,0,-1
2,1,2,127,242,-1,-1,0,-1
2,1,2,76,293,-1,-1,0,-1
2,1,2,124,235,-1,-1,0,-1
2,1,2,141,321,-1,-1,0,-1
2,1,2,141,329,-1,-1,0,-1
2,1,2,113,236,-1,-1,0,-1
2,1,2,170,289,-1,-1,0,-1
2,1,2,89,283,-1,-1,0,-1
2,1,2,73,232,-1,-1,0,-1
2,1,2,176,346,-1,-1,0,-1
2,1,2,126,258,-1,-1,0,-1
2,1,2,48,293,-1,-1,0,-1
2,1,2,100,228,-1,-1,0,-1
2,1,2,130,311,-1,-1,0,-1
2,1,2,112,318,-1,-1,0,-1
2,1,2,99,314,-1,-1,0,-1
2,1,2,45,306,-1,-1,0,-1
2,1,2,86,226,-1,-1,0,-1
2,1,2,165,340,-1,-1,0,-1
2,1,2,128,355,-1,-1,0,-1
2,1,2,93,234,-1,-1,0,-1
2,1,2,160,360,-1,-1,0,-1
2,1,2,139,324,-1,-1,0,-1
2,1,2,133,320,-1,-1,0,-1
2,1,2,46,255,-1,-1,0,-1
2,1,2,67,331,-1,-1,0,-1
2,1,2,113,260,-1,-1,0,-1
2,1,2,47,290,-1,-1,0,-1
2,1,2,46,344,-1,-1,0,-1
2,1,2,149,222,-1,-1,0,-1
2,1,2,126,340,-1,-1,0,-1
2,1,2,65,352,-1,-1,0,-1
2,1,2,108,267,-1,-1,0,-1
2,1,2,91,270,-1,-1,0,-1
2,1,2,128,346,-1,-1,0,-1
2,1,2,65,317,-1,-1,0,-1
2,1,2,143,303,-1,-1,0,-1
2,1,2,169,258,-1,-1,0,-1
2,1,2,133,295,-1,-1,0,-1
2,1,2,158,255,-1,-1,0,-1
2,1,2,161,296,-1,-1,0,-1
2,1,2,135,240,-1,-1,0,-1
2,1,2,108,304,-1,-1,0,-1
2,1,2,74,325,-1,-1,0,-1
2,1,2,142,303,-1,-1,0,-1
2,1,2,179,252,-1,-1,0,-1
2,1,2,92,279,-1,-1,0,-1
2,1,2,170,257,-1,-1,0,-1
2,1,2,85,285,-1,-1,0,-1
2,1,2,114,359,-1,-1,0,-1
2,1,2,85,323,-1,-1,0,-1
2,1,2,159,314,-1,-1,0,-1
2,1,2,101,254,-1,-1,0,-1
2,1,2,112,331,-1,-1,0,-1
2,1,2,57,244,-1,-1,0,-1
2,1,2,55,329,-1,-1,0,-1
2,1,2,67,259,-1,-1,0,-1
2,1,2,151,260,-1,-1,0,-1
2,1,2,58,276,-1,-1,0,-1
2,1,2,37,247,-1,-1,0,-1
2,1,2,139,299,-1,-1,0,-1
2,1,2,127,230,-1,-1,0,-1
2,1,2,90,260,-1,-1,0,-1
2,1,2,69,289,-1,-1,0,-1
2,1,2,58,250,-1,-1,0,-1
2,1,2,43,237,-1,-1,0,-1
2,1,2,149,330,-1,-1,0,-1
2,1,2,110,261,-1,-1,0,-1
2,1,2,37,247,-1,-1,0,-1
2,1,2,75,242,-1,-1,0,-1
2,1,2,70,223,-1,-1,0,-1
2,1,2,115,276,-1,-1,0,-1
2,1,2,50,293,-1,-1,0,-1
2,1,2,38,319,-1,-1,0,-1
2,1,2,56,217,-1,-1,0,-1
2,1,2,63,302,-1,-1,0,-1
2,1,2,176,230,-1,-1,0,-1
2,1,2,77,357,-1,-1,0,-1
2,1,2,75,334,-1,-1,0,-1
2,1,2,100,267,-1,-1,0,-1
2,1,2,51,243,-1,-1,0,-1
2,1,2,96,288,-1,-1,0,-1
2,1,2,93,295,-1,-1,0,-1
2,1,2,140,244,-1,-1,0,-1
2,1,2,135,230,-1,-1,0,-1
2,1,2,111,251,-1,-1,0,-1
2,1,2,113,356,-1,-1,0,-1
2,1,2,82,303,-1,-1,0,-1
2,1,2,159,280,-1,-1,0,-1
2,1,2,95,288,-1,-1,0,-1
2,1,2,146,298,-1,-1,0,-1
2,1,2,178,351,-1,-1,0,-1
2,1,2,162,331,-1,-1,0,-1
2,1,2,105,315,-1,-1,0,-1
