age_band,num_people,max_vax,time_1,time_2,time_3,infection,infection_day
2,1,2,19,47,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,28,56,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,4,58,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,0,32,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,1,31,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,28,56,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,1,35,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,0,57,-1,0,-1
2,1,2,2,31,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,2,37,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,0,39,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,4,35,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,1,38,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,1,30,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,7,57,-1,0,-1
2,1,2,1,38,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,1,33,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,2,31,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,14,56,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,1,29,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,20,49,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,4,35,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,5,57,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,13,43,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,5,34,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,18,57,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,28,56,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,22,56,-1,0,-1
2,1,2,8,41,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,25,56,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,14,53,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,1,29,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,0,33,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,0,33,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,10,40,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,3,38,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,0,30,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,1,29,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,1,36,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,7,56,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,0,32,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,6,53,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,2,35,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,1,30,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,3,39,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,25,53,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,1,29,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,2,39,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,2,35,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,11,39,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,28,56,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,28,56,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,22,57,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,14,47,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,3,37,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,6,34,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,25,56,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,0,31,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,4,33,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,0,29,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,27,55,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,19,47,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,7,35,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,18,46,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,9,37,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,3,35,-1,0,-1
2,1,2,3,31,-1,0,-1
2,1,2,16,44,-1,0,-1
2,1,2,26,54,-1,0,-1
2,1,2,1,29,-1,0,-1
2,1,2,28,57,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,17,45,-1,0,-1
2,1,2,10,38,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,28,56,-1,0,-1
2,1,2,20,48,-1,0,-1
2,1,2,5,33,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,2,30,-1,0,-1
2,1,2,24,52,-1,0,-1
2,1,2,2,44,-1,0,-1
2,1,2,14,42,-1,0,-1
2,1,2,21,49,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,15,43,-1,0,-1
2,1,2,12,40,-1,0,-1
2,1,2,4,32,-1,0,-1
2,1,2,8,36,-1,0,-1
2,1,2,23,51,-1,0,-1
2,1,2,22,50,-1,0,-1
2,1,2,13,41,-1,0,-1
2,1,2,0,29,-1,0,-1
