age_band,num_people,max_vax,time_1,time_2,time_3,infection,infection_day
2,1,2,130,342,-1,0,-1
2,1,2,70,306,-1,0,-1
2,1,2,167,256,-1,0,-1
2,1,2,89,360,-1,0,-1
2,1,2,69,226,-1,1,318
2,1,2,40,286,-1,0,-1
2,1,2,115,326,-1,0,-1
2,1,2,154,338,-1,0,-1
2,1,2,109,247,-1,1,318
2,1,2,56,284,-1,0,-1
2,1,2,159,330,-1,0,-1
2,1,2,147,218,-1,0,-1
2,1,2,93,222,-1,0,-1
2,1,2,65,315,-1,0,-1
2,1,2,118,259,-1,0,-1
2,1,2,162,318,-1,0,-1
2,1,2,145,304,-1,0,-1
2,1,2,46,221,-1,0,-1
2,1,2,90,343,-1,1,291
2,1,2,171,230,-1,0,-1
2,1,2,143,296,-1,0,-1
2,1,2,79,350,-1,0,-1
2,1,2,76,234,-1,0,-1
2,1,2,97,220,-1,0,-1
2,1,2,121,272,-1,0,-1
2,1,2,118,221,-1,0,-1
2,1,2,103,337,-1,1,319
2,1,2,110,241,-1,0,-1
2,1,2,180,253,-1,0,-1
2,1,2,114,237,-1,0,-1
2,1,2,179,270,-1,0,-1
2,1,2,175,234,-1,1,295
2,1,2,143,281,-1,0,-1
2,1,2,49,264,-1,0,-1
2,1,2,101,256,-1,0,-1
2,1,2,35,361,-1,0,-1
2,1,2,180,228,-1,0,-1
2,1,2,40,245,-1,0,-1
2,1,2,160,287,-1,1,312
2,1,2,52,339,-1,0,-1
2,1,2,158,230,-1,0,-1
2,1,2,172,235,-1,0,-1
2,1,2,130,357,-1,0,-1
2,1,2,87,286,-1,1,303
2,1,2,169,344,-1,0,-1
2,1,2,36,280,-1,1,290
2,1,2,134,241,-1,1,292
2,1,2,114,281,-1,0,-1
2,1,2,108,225,-1,0,-1
2,1,2,60,277,-1,0,-1
2,1,2,170,313,-1,0,-1
2,1,2,37,355,-1,0,-1
2,1,2,94,306,-1,1,248
2,1,2,116,292,-1,0,-1
2,1,2,96,235,-1,0,-1
2,1,2,65,326,-1,0,-1
2,1,2,143,347,-1,0,-1
2,1,2,158,262,-1,0,-1
2,1,2,101,223,-1,1,302
2,1,2,73,240,-1,0,-1
2,1,2,152,333,-1,1,300
2,1,2,51,301,-1,0,-1
2,1,2,111,258,-1,0,-1
2,1,2,114,328,-1,0,-1
2,1,2,124,348,-1,0,-1
2,1,2,162,323,-1,0,-1
2,1,2,101,348,-1,0,-1
2,1,2,150,316,-1,0,-1
2,1,2,48,353,-1,0,-1
2,1,2,88,240,-1,1,301
2,1,2,94,226,-1,0,-1
2,1,2,36,329,-1,1,288
2,1,2,120,346,-1,0,-1
2,1,2,79,225,-1,0,-1
2,1,2,82,314,-1,1,298
2,1,2,36,275,-1,0,-1
2,1,2,178,255,-1,0,-1
2,1,2,54,341,-1,1,295
2,1,2,63,252,-1,0,-1
2,1,2,74,278,-1,0,-1
2,1,2,66,293,-1,1,325
2,1,2,100,340,-1,0,-1
2,1,2,56,300,-1,1,312
2,1,2,141,218,-1,1,326
2,1,2,114,356,-1,0,-1
2,1,2,106,227,-1,1,319
2,1,2,84,286,-1,0,-1
2,1,2,107,226,-1,1,306
2,1,2,83,345,-1,1,295
2,1,2,65,297,-1,0,-1
2,1,2,99,260,-1,1,291
2,1,2,146,322,-1,0,-1
2,1,2,58,298,-1,0,-1
2,1,2,50,321,-1,0,-1
2,1,2,108,334,-1,1,298
2,1,2,38,218,-1,1,304
2,1,2,180,313,-1,0,-1
2,1,2,145,228,-1,0,-1
2,1,2,86,243,-1,0,-1
2,1,2,161,329,-1,0,-1
2,1,2,161,217,-1,0,-1
2,1,2,66,283,-1,1,313
2,1,2,142,264,-1,0,-1
2,1,2,83,281,-1,1,308
2,1,2,89,357,-1,0,-1
2,1,2,167,241,-1,0,-1
2,1,2,155,268,-1,1,320
2,1,2,175,237,-1,1,306
2,1,2,85,219,-1,1,298
2,1,2,123,358,-1,0,-1
2,1,2,154,290,-1,0,-1
2,1,2,83,272,-1,0,-1
2,1,2,57,228,-1,0,-1
2,1,2,163,292,-1,0,-1
2,1,2,140,295,-1,0,-1
2,1,2,141,259,-1,0,-1
2,1,2,105,325,-1,0,-1
2,1,2,176,251,-1,0,-1
2,1,2,101,273,-1,0,-1
2,1,2,149,340,-1,1,276
2,1,2,69,240,-1,0,-1
2,1,2,74,275,-1,0,-1
2,1,2,137,275,-1,0,-1
2,1,2,69,308,-1,0,-1
2,1,2,45,303,-1,0,-1
2,1,2,94,351,-1,0,-1
2,1,2,179,231,-1,1,295
2,1,2,50,356,-1,0,-1
2,1,2,140,240,-1,0,-1
2,1,2,123,356,-1,0,-1
2,1,2,81,345,-1,1,315
2,1,2,113,357,-1,0,-1
2,1,2,116,226,-1,0,-1
2,1,2,74,276,-1,0,-1
2,1,2,118,251,-1,1,257
2,1,2,134,286,-1,0,-1
2,1,2,43,359,-1,0,-1
2,1,2,173,332,-1,1,330
2,1,2,52,218,-1,0,-1
2,1,2,121,229,-1,0,-1
2,1,2,112,352,-1,0,-1
2,1,2,138,221,-1,0,-1
2,1,2,160,272,-1,1,298
2,1,2,154,309,-1,0,-1
2,1,2,92,346,-1,0,-1
2,1,2,101,266,-1,0,-1
2,1,2,162,288,-1,1,332
2,1,2,80,218,-1,0,-1
2,1,2,70,228,-1,0,-1
2,1,2,109,220,-1,0,-1
2,1,2,143,296,-1,0,-1
2,1,2,166,346,-1,0,-1
2,1,2,166,358,-1,0,-1
2,1,2,171,224,-1,0,-1
2,1,2,38,346,-1,0,-1
2,1,2,128,225,-1,0,-1
2,1,2,123,320,-1,0,-1
2,1,2,141,248,-1,0,-1
2,1,2,77,260,-1,1,295
2,1,2,123,360,-1,0,-1
2,1,2,46,220,-1,0,-1
2,1,2,36,334,-1,0,-1
2,1,2,39,273,-1,0,-1
2,1,2,128,247,-1,0,-1
2,1,2,95,293,-1,1,321
2,1,2,48,258,-1,1,299
2,1,2,165,293,-1,0,-1
2,1,2,89,220,-1,0,-1
2,1,2,121,321,-1,0,-1
2,1,2,58,281,-1,0,-1
2,1,2,177,221,-1,0,-1
2,1,2,103,352,-1,1,326
2,1,2,176,288,-1,0,-1
2,1,2,161,310,-1,1,276
2,1,2,169,279,-1,0,-1
2,1,2,145,221,-1,0,-1
2,1,2,181,362,-1,0,-1
2,1,2,105,336,-1,0,-1
2,1,2,94,316,-1,1,299
2,1,2,159,261,-1,0,-1
2,1,2,159,358,-1,0,-1
