age_band,num_people,max_vax,time_1,time_2,time_3,infection,infection_day
2,1,2,144,351,-1,0,-1
2,1,2,158,309,-1,0,-1
2,1,2,159,302,-1,0,-1
2,1,2,110,337,-1,0,-1
2,1,2,159,352,-1,0,-1
2,1,2,158,324,-1,0,-1
2,1,2,113,300,-1,0,-1
2,1,2,171,293,-1,0,-1
2,1,2,168,327,-1,0,-1
2,1,2,128,350,-1,0,-1
2,1,2,159,319,-1,0,-1
2,1,2,177,312,-1,0,-1
2,1,2,110,309,-1,1,302
2,1,2,172,356,-1,1,303
2,1,2,151,323,-1,0,-1
2,1,2,118,314,-1,0,-1
2,1,2,126,315,-1,0,-1
2,1,2,166,298,-1,0,-1
2,1,2,129,316,-1,0,-1
2,1,2,131,333,-1,0,-1
2,1,2,161,361,-1,0,-1
2,1,2,117,327,-1,0,-1
2,1,2,119,326,-1,1,277
2,1,2,110,333,-1,0,-1
2,1,2,134,361,-1,0,-1
2,1,2,140,347,-1,0,-1
2,1,2,158,338,-1,0,-1
2,1,2,123,309,-1,0,-1
2,1,2,157,363,-1,0,-1
2,1,2,123,305,-1,1,305
2,1,2,118,305,-1,0,-1
2,1,2,179,322,-1,0,-1
2,1,2,112,311,-1,0,-1
2,1,2,142,335,-1,0,-1
2,1,2,169,302,-1,0,-1
2,1,2,149,320,-1,0,-1
2,1,2,176,313,-1,1,279
2,1,2,116,329,-1,0,-1
2,1,2,159,320,-1,0,-1
2,1,2,130,299,-1,0,-1
2,1,2,159,335,-1,0,-1
2,1,2,159,336,-1,0,-1
2,1,2,136,313,-1,0,-1
2,1,2,117,353,-1,0,-1
2,1,2,172,293,-1,0,-1
2,1,2,133,324,-1,0,-1
2,1,2,116,308,-1,0,-1
2,1,2,121,339,-1,1,297
2,1,2,179,320,-1,0,-1
2,1,2,113,314,-1,0,-1
2,1,2,177,305,-1,0,-1
2,1,2,171,317,-1,0,-1
2,1,2,162,314,-1,0,-1
2,1,2,133,355,-1,1,323
2,1,2,171,306,-1,0,-1
2,1,2,160,319,-1,0,-1
2,1,2,147,359,-1,0,-1
2,1,2,148,299,-1,0,-1
2,1,2,156,301,-1,0,-1
2,1,2,145,301,-1,0,-1
2,1,2,153,356,-1,0,-1
2,1,2,125,339,-1,0,-1
2,1,2,113,322,-1,0,-1
2,1,2,140,332,-1,0,-1
2,1,2,170,316,-1,1,314
2,1,2,154,297,-1,0,-1
3,1,2,146,318,-1,0,-1
3,1,2,150,348,-1,0,-1
3,1,2,179,358,-1,0,-1
3,1,2,132,322,-1,1,296
3,1,2,112,355,-1,0,-1
3,1,2,130,294,-1,1,304
3,1,2,176,338,-1,0,-1
3,1,2,135,335,-1,0,-1
3,1,2,152,302,-1,0,-1
3,1,2,179,300,-1,0,-1
3,1,2,119,347,-1,0,-1
3,1,2,117,305,-1,0,-1
3,1,2,127,323,-1,0,-1
3,1,2,138,310,-1,0,-1
3,1,2,165,303,-1,0,-1
3,1,2,150,349,-1,0,-1
