age_band,num_people,max_vax,time_1,time_2,time_3,infection,infection_day
2,1,2,103,326,-1,0,-1
2,1,2,125,338,-1,0,-1
2,1,2,125,239,-1,1,312
2,1,2,159,249,-1,0,-1
2,1,2,152,257,-1,0,-1
2,1,2,110,362,-1,0,-1
2,1,2,130,320,-1,1,326
2,1,2,86,238,-1,1,316
2,1,2,117,311,-1,0,-1
2,1,2,88,308,-1,0,-1
2,1,2,149,328,-1,0,-1
2,1,2,148,337,-1,0,-1
2,1,2,174,306,-1,1,305
2,1,2,113,258,-1,0,-1
2,1,2,165,332,-1,0,-1
2,1,2,61,264,-1,0,-1
2,1,2,159,284,-1,0,-1
2,1,2,120,251,-1,1,263
2,1,2,94,322,-1,0,-1
2,1,2,139,245,-1,0,-1
2,1,2,130,313,-1,1,325
2,1,2,85,256,-1,1,326
2,1,2,137,250,-1,0,-1
2,1,2,58,361,-1,0,-1
2,1,2,65,287,-1,1,333
2,1,2,76,317,-1,0,-1
2,1,2,110,313,-1,1,317
2,1,2,161,279,-1,0,-1
2,1,2,171,280,-1,1,293
2,1,2,61,261,-1,1,311
2,1,2,83,297,-1,1,324
2,1,2,100,351,-1,1,308
2,1,2,100,262,-1,1,273
2,1,2,148,245,-1,0,-1
2,1,2,123,294,-1,0,-1
2,1,2,111,321,-1,0,-1
2,1,2,155,245,-1,1,295
2,1,2,143,309,-1,0,-1
2,1,2,62,259,-1,0,-1
2,1,2,71,305,-1,1,312
2,1,2,126,333,-1,1,296
2,1,2,81,358,-1,1,337
2,1,2,123,284,-1,0,-1
2,1,2,150,247,-1,1,287
2,1,2,143,292,-1,1,322
2,1,2,153,267,-1,0,-1
2,1,2,161,247,-1,0,-1
2,1,2,120,280,-1,1,337
2,1,2,75,344,-1,1,287
2,1,2,97,268,-1,1,322
2,1,2,104,355,-1,0,-1
2,1,2,74,295,-1,0,-1
2,1,2,180,270,-1,1,284
2,1,2,171,272,-1,0,-1
2,1,2,75,348,-1,0,-1
2,1,2,177,315,-1,0,-1
2,1,2,153,256,-1,0,-1
2,1,2,144,347,-1,0,-1
2,1,2,127,314,-1,0,-1
2,1,2,89,296,-1,0,-1
2,1,2,178,260,-1,0,-1
2,1,2,111,339,-1,1,271
2,1,2,97,256,-1,0,-1
2,1,2,143,334,-1,0,-1
2,1,2,146,274,-1,0,-1
2,1,2,139,276,-1,0,-1
2,1,2,153,335,-1,0,-1
2,1,2,143,241,-1,1,295
2,1,2,174,351,-1,0,-1
2,1,2,155,262,-1,1,317
2,1,2,53,323,-1,1,306
2,1,2,99,234,-1,0,-1
2,1,2,73,330,-1,0,-1
2,1,2,132,337,-1,0,-1
2,1,2,155,254,-1,0,-1
2,1,2,131,334,-1,0,-1
2,1,2,79,263,-1,0,-1
2,1,2,92,319,-1,0,-1
2,1,2,77,357,-1,1,277
2,1,2,63,309,-1,0,-1
2,1,2,175,298,-1,0,-1
2,1,2,164,256,-1,0,-1
2,1,2,157,296,-1,1,325
2,1,2,135,335,-1,0,-1
2,1,2,69,347,-1,0,-1
2,1,2,120,308,-1,0,-1
2,1,2,135,271,-1,0,-1
2,1,2,171,253,-1,1,294
2,1,2,79,285,-1,1,291
2,1,2,87,284,-1,1,287
2,1,2,142,280,-1,0,-1
2,1,2,102,258,-1,0,-1
2,1,2,150,239,-1,0,-1
2,1,2,159,327,-1,0,-1
2,1,2,74,235,-1,0,-1
2,1,2,54,303,-1,1,324
2,1,2,104,259,-1,1,329
2,1,2,110,316,-1,0,-1
2,1,2,120,243,-1,1,299
2,1,2,121,262,-1,0,-1
2,1,2,133,330,-1,1,282
2,1,2,180,252,-1,0,-1
2,1,2,109,362,-1,0,-1
2,1,2,96,348,-1,0,-1
2,1,2,130,348,-1,0,-1
2,1,2,159,308,-1,0,-1
2,1,2,75,354,-1,1,316
2,1,2,54,306,-1,0,-1
2,1,2,145,253,-1,0,-1
2,1,2,146,274,-1,0,-1
2,1,2,76,240,-1,0,-1
2,1,2,90,301,-1,0,-1
2,1,2,145,340,-1,0,-1
2,1,2,142,252,-1,1,305
2,1,2,136,270,-1,0,-1
2,1,2,143,250,-1,1,300
2,1,2,82,357,-1,0,-1
2,1,2,146,303,-1,0,-1
2,1,2,58,302,-1,0,-1
2,1,2,171,296,-1,1,302
2,1,2,106,244,-1,1,310
2,1,2,128,267,-1,0,-1
2,1,2,65,248,-1,0,-1
2,1,2,148,276,-1,1,332
2,1,2,175,329,-1,1,311
2,1,2,58,269,-1,0,-1
2,1,2,109,301,-1,0,-1
2,1,2,62,347,-1,1,301
2,1,2,83,304,-1,0,-1
2,1,2,89,332,-1,0,-1
2,1,2,117,323,-1,0,-1
2,1,2,102,248,-1,1,294
2,1,2,146,300,-1,0,-1
2,1,2,72,353,-1,1,287
2,1,2,53,335,-1,0,-1
2,1,2,167,259,-1,0,-1
2,1,2,110,272,-1,1,323
2,1,2,168,328,-1,1,334
2,1,2,73,330,-1,0,-1
2,1,2,116,284,-1,0,-1
2,1,2,163,273,-1,0,-1
2,1,2,106,323,-1,0,-1
2,1,2,125,243,-1,1,322
2,1,2,71,351,-1,0,-1
2,1,2,140,240,-1,1,304
2,1,2,151,241,-1,0,-1
2,1,2,94,276,-1,1,324
2,1,2,138,269,-1,1,313
2,1,2,115,274,-1,0,-1
2,1,2,160,305,-1,0,-1
2,1,2,126,297,-1,0,-1
2,1,2,165,340,-1,1,314
2,1,2,131,260,-1,0,-1
2,1,2,69,351,-1,1,277
2,1,2,134,357,-1,0,-1
2,1,2,63,292,-1,1,320
2,1,2,56,275,-1,0,-1
2,1,2,76,235,-1,0,-1
2,1,2,60,302,-1,0,-1
2,1,2,91,353,-1,0,-1
2,1,2,158,276,-1,1,306
2,1,2,99,260,-1,0,-1
2,1,2,175,271,-1,1,304
2,1,2,170,316,-1,0,-1
2,1,2,89,326,-1,0,-1
2,1,2,98,263,-1,0,-1
2,1,2,150,237,-1,0,-1
2,1,2,144,269,-1,0,-1
2,1,2,155,347,-1,0,-1
2,1,2,133,323,-1,0,-1
2,1,2,122,330,-1,0,-1
2,1,2,162,339,-1,0,-1
2,1,2,143,310,-1,1,325
2,1,2,105,338,-1,0,-1
2,1,2,64,273,-1,0,-1
2,1,2,108,250,-1,1,265
2,1,2,146,350,-1,0,-1
2,1,2,94,356,-1,0,-1
2,1,2,60,273,-1,0,-1
2,1,2,86,294,-1,0,-1
2,1,2,148,353,-1,0,-1
2,1,2,174,303,-1,0,-1
2,1,2,127,310,-1,0,-1
2,1,2,102,333,-1,1,313
2,1,2,176,357,-1,1,297
2,1,2,54,269,-1,0,-1
2,1,2,116,303,-1,1,303
2,1,2,100,332,-1,0,-1
2,1,2,179,336,-1,0,-1
2,1,2,169,311,-1,1,272
2,1,2,120,299,-1,0,-1
2,1,2,108,306,-1,0,-1
2,1,2,113,313,-1,0,-1
2,1,2,91,358,-1,0,-1
2,1,2,173,248,-1,1,288
2,1,2,83,273,-1,0,-1
2,1,2,66,252,-1,0,-1
2,1,2,152,314,-1,0,-1
2,1,2,104,330,-1,0,-1
2,1,2,118,287,-1,0,-1
2,1,2,162,287,-1,1,281
2,1,2,152,308,-1,0,-1
2,1,2,141,279,-1,1,297
2,1,2,74,236,-1,1,305
2,1,2,113,328,-1,0,-1
2,1,2,174,267,-1,0,-1
2,1,2,174,337,-1,1,329
2,1,2,147,292,-1,0,-1
2,1,2,94,347,-1,0,-1
2,1,2,167,356,-1,0,-1
2,1,2,116,298,-1,0,-1
2,1,2,114,295,-1,0,-1
2,1,2,92,293,-1,0,-1
2,1,2,134,291,-1,0,-1
2,1,2,81,335,-1,0,-1
2,1,2,144,318,-1,0,-1
2,1,2,181,306,-1,0,-1
2,1,2,147,326,-1,1,303
2,1,2,61,347,-1,1,318
2,1,2,94,300,-1,0,-1
2,1,2,102,267,-1,0,-1
2,1,2,114,358,-1,0,-1
2,1,2,53,274,-1,0,-1
2,1,2,82,237,-1,0,-1
2,1,2,81,283,-1,0,-1
2,1,2,145,295,-1,0,-1
2,1,2,158,347,-1,0,-1
2,1,2,155,288,-1,0,-1
2,1,2,176,291,-1,1,295
2,1,2,70,280,-1,0,-1
2,1,2,163,280,-1,1,305
2,1,2,96,299,-1,1,309
2,1,2,145,316,-1,1,298
2,1,2,89,348,-1,1,308
2,1,2,146,356,-1,1,312
2,1,2,107,326,-1,0,-1
2,1,2,115,275,-1,0,-1
2,1,2,138,332,-1,0,-1
2,1,2,110,341,-1,1,306
2,1,2,69,277,-1,0,-1
2,1,2,124,342,-1,1,305
2,1,2,113,298,-1,0,-1
2,1,2,60,349,-1,0,-1
2,1,2,151,302,-1,1,329
2,1,2,85,272,-1,1,273
2,1,2,110,355,-1,1,318
2,1,2,52,310,-1,0,-1
2,1,2,137,335,-1,1,278
2,1,2,146,330,-1,0,-1
2,1,2,168,337,-1,1,290
2,1,2,138,344,-1,0,-1
2,1,2,128,350,-1,0,-1
2,1,2,56,355,-1,1,294
2,1,2,59,323,-1,0,-1
2,1,2,97,250,-1,0,-1
2,1,2,58,314,-1,0,-1
2,1,2,145,284,-1,0,-1
2,1,2,88,308,-1,1,297
2,1,2,67,289,-1,0,-1
2,1,2,90,283,-1,1,320
2,1,2,177,349,-1,0,-1
2,1,2,97,306,-1,0,-1
2,1,2,109,330,-1,0,-1
2,1,2,117,345,-1,0,-1
2,1,2,109,243,-1,1,296
2,1,2,91,259,-1,0,-1
2,1,2,57,326,-1,0,-1
2,1,2,53,305,-1,0,-1
2,1,2,92,252,-1,1,309
2,1,2,92,346,-1,0,-1
2,1,2,76,284,-1,0,-1
2,1,2,102,333,-1,1,312
2,1,2,130,290,-1,0,-1
2,1,2,147,235,-1,0,-1
2,1,2,73,253,-1,0,-1
2,1,2,137,333,-1,0,-1
2,1,2,169,252,-1,1,301
2,1,2,134,333,-1,0,-1
2,1,2,82,269,-1,0,-1
2,1,2,153,243,-1,0,-1
