age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,141,334,-1,-1,0,-1
2,1,2,63,360,-1,-1,0,-1
2,1,2,59,232,-1,-1,0,-1
2,1,2,57,251,-1,-1,0,-1
2,1,2,169,288,-1,-1,0,-1
2,1,2,127,219,-1,-1,0,-1
2,1,2,132,350,-1,-1,0,-1
2,1,2,123,225,-1,-1,0,-1
2,1,2,69,268,-1,-1,0,-1
2,1,2,167,303,-1,-1,0,-1
2,1,2,61,249,-1,-1,0,-1
2,1,2,144,357,-1,-1,0,-1
2,1,2,44,249,-1,-1,0,-1
2,1,2,63,300,-1,-1,0,-1
2,1,2,104,349,-1,-1,0,-1
2,1,2,75,239,-1,-1,0,-1
2,1,2,84,295,-1,-1,0,-1
2,1,2,56,359,-1,-1,0,-1
2,1,2,163,216,-1,-1,0,-1
2,2,2,137,228,-1,-1,0,-1
2,1,2,141,217,-1,-1,0,-1
2,1,2,172,336,-1,-1,0,-1
2,1,2,61,238,-1,-1,0,-1
2,1,2,46,320,-1,-1,0,-1
2,1,2,167,220,-1,-1,0,-1
2,1,2,119,253,-1,-1,0,-1
2,1,2,167,266,-1,-1,0,-1
2,1,2,99,275,-1,-1,0,-1
2,1,2,131,352,-1,-1,0,-1
2,1,2,123,288,-1,-1,0,-1
2,1,2,138,323,-1,-1,0,-1
2,1,2,140,363,-1,-1,0,-1
2,1,2,161,284,-1,-1,0,-1
2,1,2,168,248,-1,-1,0,-1
2,1,2,134,261,-1,-1,0,-1
2,1,2,101,312,-1,-1,0,-1
2,1,2,141,239,-1,-1,0,-1
2,1,2,108,357,-1,-1,0,-1
2,1,2,73,237,-1,-1,0,-1
2,1,2,154,255,-1,-1,0,-1
2,1,2,153,262,-1,-1,0,-1
2,1,2,101,335,-1,-1,0,-1
2,1,2,102,225,-1,-1,0,-1
2,1,2,67,282,-1,-1,0,-1
2,1,2,38,332,-1,-1,0,-1
2,1,2,125,279,-1,-1,0,-1
2,1,2,129,321,-1,-1,0,-1
2,1,2,58,283,-1,-1,0,-1
2,1,2,82,292,-1,-1,0,-1
2,1,2,77,234,-1,-1,0,-1
2,2,2,92,260,-1,-1,0,-1
2,1,2,163,360,-1,-1,0,-1
2,1,2,117,321,-1,-1,0,-1
2,1,2,161,287,-1,-1,0,-1
